idperson,name,lastname,birthdate,gender,birthplace,home,studiedat,workplaces,films,groupcode
Javier118,Javier,Yñigo,1954-11-26,male,Sestao,Berriatua,,lekeitio;zerain;lemoa;meñaka,million dollar baby,G1129
Leo882,Leo,Aparicio,1962-03-07,female,Ordizia,Maruri-Jatabe,igorre;arama,larraul;elburgo/burgelu,home alone;return of the jedi;in the company of men,G6047
Ainhize708,Ainhize,Portuondo,1956-05-10,female,Iruña Oka /Iruña de Oca,Tolosa,,vitoria-gasteiz,shrek the third;spider-man 3,G7219
Ekain78,Ekain,Baigorria,1928-02-01,female,Barrika,Elorrio,villabona,zerain;azkoitia;baños de ebro/mañueta;abaltzisketa,,G4635
Lara868,Lara,Urquiza,1826-05-19,female,Otxandio,Campezo/Kanpezu,trucios-turtzioz,ayala/aiara,spider-man 3,G4324
Bruno795,Bruno,Carrera,1926-11-23,male,Abadiño,Amorebieta-Etxano,murueta,,spider-man;the road home;the departed,G7657
Victoria851,Victoria,Kanibe,1919-11-03,female,Munitibar-Arbatzegi-Gerrikaitz,Zambrana,aduna;barakaldo,vitoria-gasteiz;valle de trápaga-trapagaran,in the company of men,G6758
Ainhoa485,Ainhoa,Garay,1910-10-01,female,Gamiz-Fika,Portugalete,olaberria;artziniega;usurbil,,batman;the last mimzy,G5030
Nicolás11,Nicolás,Aanda,1898-06-03,male,Errenteria,Berriz,elvillar/bilar;lagrán,arrieta,harry potter 3: prisoner of azkeban,G3756
Imran131,Imran,Ciordia,1871-01-27,female,Mendexa,Amurrio,lapuebla de labarca;san millán,ataun,the empire strikes back;et,G9876
Anne246,Anne,Casa de Escors,1993-12-08,male,Erandio,Lapuebla de Labarca,deba,nabarniz,shakespeare in love;batman,G4665
Izadi364,Izadi,Astete,1842-04-18,male,Mutriku,Bernedo,forua;aramaio;anoeta,,the empire strikes back;the road home;the good girl,G4254
Leo708,Leo,Uribe,1928-02-05,female,Urduliz,Legorreta,gaintza;belauntza;errenteria;amezketa;sopuerta,areatza;ermua;zarautz,,G8109
Nerea770,Nerea,Lizarraga,1923-09-15,female,Mutiloa,Oyón-Oion,soraluze-placencia de las armas;zestoa;dima,beasain;irura;elvillar/bilar;arrigorriaga,gods and monsters,G7349
Aroa390,Aroa,Muncharaz,1889-08-09,male,Ubide,Añana,berriz;trucios-turtzioz,,shrek 2;harry potter 2: chamber of secrets,G8474
Lorea99,Lorea,Urquía,1856-12-04,male,Zeberio,Sondika,galdakao;ajangiz;gamiz-fika,villabuena de álava,,G1536
Ekaitz465,Ekaitz,Aanda,1942-09-03,male,Soraluze-Placencia de las Armas,Zalduondo,arrankudiaga;abadiño;lemoa,urnieta;mutiloa,gods and monsters,G9240
Luka705,Luka,Echeverri,1857-04-27,female,Ibarra,Villabuena de Álava,maruri-jatabe,mañaria,home alone;thirteen;batman,G8534
Santiago844,Santiago,Ortiz,1903-07-01,male,Arrasate/Mondragón,Mendexa,berango,errezil;azpeitia;orio;plentzia,,G6354
Peio636,Peio,Eguiguren,1821-07-21,female,Nabarniz,Aia,alegia,zigoitia;altzaga;errigoiti;zarautz,,G4027
Aitana39,Aitana,Vela,1994-05-21,male,Hernani,Salvatierra/Agurain,gernika-lumo;elvillar/bilar;arraia-maeztu,lagrán,harry potter 3: prisoner of azkeban;the last mimzy,G1237
Einar203,Einar,Arismendi,1912-03-23,female,Zerain,Amezketa,,ezkio;legorreta,spider-man;shrek the third;titanic,G9191
Maddi938,Maddi,Barquín,1913-04-13,female,Fruiz,Segura,baliarrain,sukarrieta;kuartango;armiñón,harry potter 4: goblet of fire;shrek 2,G1742
Ane151,Ane,Arismendi,1974-08-12,female,Pasaia,Añana,peñacerrada-urizaharra;forua;harana/valle de arana,zalla,pirates 3: at world’s end;independence day,G6935
Mariam879,Mariam,Kanibe,1923-11-08,female,Bakio,Urnieta,errezil;soraluze-placencia de las armas;mallabia,arrazua-ubarrundia,american beauty;spider-man 3;gladiator;batman,G8539
Aratz849,Aratz,Kanibe,1842-11-22,male,San Sebastián,Amorebieta-Etxano,ondarroa,kuartango,,G5326
Enzo334,Enzo,Elizalde,1870-12-16,male,Barrika,Gorliz,,elgeta;lazkao;harana/valle de arana,shrek the third;star wars: phantom menace,G8976
Aner261,Aner,Segura,1931-10-19,male,Baliarrain,Orendain,albiztur;berriz;zestoa;navaridas,sukarrieta;zigoitia,forrest gump;batman;a beautiful mind;million dollar baby,G5824
Nerea329,Nerea,Vizcaíno,1860-07-18,male,Oyón-Oion,Ziortza-Bolibar,arrigorriaga;barrika,legutio;lemoa;astigarraga,shrek;the lion king;gods and monsters,G2989
Martina400,Martina,Amez,1941-12-13,male,Ibarrangelu,Aramaio,harana/valle de arana,asteasu;güeñes;barakaldo,home alone;harry potter 4: goblet of fire;american beauty;the empire strikes back;star wars: phantom menace,G9115
Jon82,Jon,Vela,1890-07-19,female,Lanciego/Lantziego,Legazpi,bernedo,larrabetzu;arrigorriaga;gautegiz arteaga,american beauty,G8991
Paule389,Paule,Urquiza,1895-10-13,female,Zaldibia,Bernedo,villabona;etxebarria,leintz-gatzaga;usurbil,beverly hills cop;the good girl,G1751
Mariam114,Mariam,Ossa,1967-11-28,male,Abaltzisketa,Peñacerrada-Urizaharra,mungia;barrika;arrazua-ubarrundia,deba;ubide;labastida,shrek;chicago;independence day;ghost busters,G9175
Mateo679,Mateo,Ascázubi,1993-10-23,male,Arrigorriaga,Hernani,lezo,kuartango,return of the jedi,G2676
Izei481,Izei,Herce,1986-04-01,male,Gatika,Ataun,orio,bermeo,,G7908
Pablo411,Pablo,Echavarren,1833-02-27,male,Aretxabaleta,Yécora,san millán,altzaga,the road home,G6744
Ian534,Ian,Eguiguren,1915-12-02,male,Zalduondo,Altzaga,balmaseda;olaberria,lanciego/lantziego,harry potter 1: sorcerer’s stone;the departed;titanic,G5467
Yasmin724,Yasmin,Gárate,1994-10-08,female,Arakaldo,Igorre,zeberio;mutiloa,otxandio;eskoriatza,harry potter 2: chamber of secrets;independence day;titanic;et,G8881
Elaia376,Elaia,Segura,1826-03-21,male,Zizurkil,Morga,nabarniz,ugao-miraballes;murueta;villabuena de álava,gladiator,G4309
Daniela701,Daniela,Amez,1912-10-20,female,Nabarniz,Gamiz-Fika,mungia;zumaia;idiazabal;ajangiz,,spider-man;beverly hills cop,G4638
Manex238,Manex,Aanda,1850-07-24,female,Ibarra,Elduain,orexa,vitoria-gasteiz;leaburu;arratzu,jurassic park;crash;shrek the third;a beautiful mind,G2597
Erik962,Erik,Baigorria,1853-11-14,male,Mutiloa,Zumaia,zaldibia;areatza;kuartango;ribera alta;bedia,otxandio;zerain;alkiza,the road home;titanic,G9175
Paul269,Paul,Sagasti,1995-04-08,female,Alkiza,Oiartzun,,,the lion king;harry potter 2: chamber of secrets,G6317
Aiur695,Aiur,Lizarraga,1985-07-10,male,Mallabia,Gorliz,gatika;mañaria;lazkao,,the good girl,G6245
Maddi411,Maddi,Berrotarán,1820-04-02,male,Amoroto,Azpeitia,,,run lola run;beverly hills cop;harry potter 5: order of the phoenix,G8088
Haizea649,Haizea,Aparicio,1937-12-22,female,Kortezubi,Orendain,alegría-dulantzi,elantxobe;barrika,raiders of the lost ark,G4671
Maren352,Maren,Larrea,1900-02-05,female,Atxondo,Aizarnazabal,irura;tolosa,segura,pirates 2: dead man’s chest,G7193
Lia184,Lia,Baigorria,1913-04-15,male,Ibarra,Amurrio,alegia;berriatua;alonsotegi,zuia;lizartza,shakespeare in love;home alone,G5934
Iker306,Iker,Barquín,1841-07-10,female,Ugao-Miraballes,Atxondo,,,lord of the rings: the return of the king;shrek 2;in the company of men,G8320
Jare197,Jare,Jaureguiberry,1878-09-03,female,Forua,Eibar,san millán,,lord of the rings: the return of the king;raiders of the lost ark,G4066
Manex835,Manex,Urquía,1912-11-18,male,Harana/Valle de Arana,Aramaio,erandio;itsasondo;valle de carranza,,spider-man;american beauty;raiders of the lost ark;million dollar baby,G2322
Libe346,Libe,Llaguno,1944-07-10,female,Aulesti,Beasain,galdames;zaldibar,valle de carranza,,G3041
Liher935,Liher,Jaureguiberry,1945-09-10,female,Galdakao,Abaltzisketa,etxebarri;ordizia,,star wars;jurassic park;the departed,G2557
Anne730,Anne,Uribe,1971-06-18,male,Tolosa,Arraia-Maeztu,kortezubi;zestoa;arakaldo,bergara;villabona,quinceanera;shakespeare in love,G3439
Ekain822,Ekain,Velasco,1930-10-27,female,Mendata,Mendata,zamudio;lasarte-oria,zeanuri;maruri-jatabe;arraia-maeztu;abaltzisketa,the lion king;spider-man 3,G5275
Libe262,Libe,Vela,1933-04-06,female,Igorre,Etxebarria,mundaka;gorliz,,,G1203
Dylan863,Dylan,Garmendia,1821-03-21,male,Forua,Okondo,gaztelu;lemoa;zegama;zizurkil;lemoiz,aulesti;altzo;leioa,spider-man;beverly hills cop,G1296
Eki587,Eki,Portuondo,1838-08-08,female,Derio,Legazpi,nabarniz;soraluze-placencia de las armas;moreda de álava;barrika,beasain;gatika,in the company of men,G6378
Chloe233,Chloe,Carranza,1894-08-14,female,Errezil,Aizarnazabal,ribera baja/erriberabeitia;artea;berriatua;bidegoian,orduña;ispaster;azkoitia,shakespeare in love;chicago;spider-man 2,G7800
Adrian926,Adrian,Velasco,1911-01-28,male,Gizaburuaga,Arrankudiaga,bergara;arrankudiaga,lapuebla de labarca;yécora,shakespeare in love;thirteen;pirates 3: at world’s end,G3820
Udane692,Udane,Larrea,1944-02-15,female,Ereño,Nombre,,meñaka,harry potter 3: prisoner of azkeban;the last mimzy,G7537
Eder322,Eder,Urquiza,2004-05-20,female,Bilbao,Kortezubi,elorrio,valle de trápaga-trapagaran;errenteria;oñati,jurassic park;the departed;million dollar baby;ghost busters,G5187
Liam465,Liam,Oñate,1859-01-08,female,Eskoriatza,Galdakao,urduliz,irun;leintz-gatzaga;ibarra;gizaburuaga,beverly hills cop;shrek the third;star wars: phantom menace,G5761
Leo34,Leo,Zelaya,1850-02-07,male,Hernani,Balmaseda,elantxobe;iruña oka /iruña de oca;barrundia,bedia;gabiria,american beauty;the last mimzy;ghost busters,G9898
Neizan714,Neizan,Mendoza,1977-01-10,female,Vitoria-Gasteiz,Laukiz,valdegovía;sukarrieta;zerain;elduain,barakaldo;bedia,pirates 2: dead man’s chest,G1522
June183,June,Ascázubi,1875-09-12,female,Orexa,Barrundia,gatika,lizartza,raiders of the lost ark;et,G9436
Sofia14,Sofia,Allende,1981-04-21,male,Ibarra,Mungia,larraul;lizartza,gatika;yécora;bernedo,thirteen;the empire strikes back;spider-man 2,G4919
Eder788,Eder,Lizarraga,1826-03-02,female,Alkiza,Ermua,idiazabal;zamudio;salvatierra/agurain,beasain;arrazua-ubarrundia,home alone;spider-man 2;independence day;gods and monsters,G1618
Lukas519,Lukas,Aanda,1872-01-18,female,Arrieta,Mundaka,ribera baja/erriberabeitia;markina-xemein;muskiz,beizama;lanestosa;iruña oka /iruña de oca,star wars;the empire strikes back,G8213
Ane772,Ane,Chasco,1893-10-27,female,Larrabetzu,Aramaio,izurtza,bernedo,beverly hills cop;star wars: phantom menace,G7505
Lur479,Lur,Salcedo,1908-02-01,male,Fruiz,Ugao-Miraballes,güeñes;berriatua;legazpi,getxo;zalla,batman,G8049
Carla852,Carla,Oñate,1860-09-20,male,Asparrena,Baños de Ebro/Mañueta,mañaria;santurtzi,ubide;forua;belauntza,the lion king;harry potter 1: sorcerer’s stone,G5898
Beñat600,Beñat,Aramburu,1888-01-02,male,Garai,Fruiz,bergara;lazkao;arrazua-ubarrundia,harana/valle de arana,shrek 2,G5343
Aimar45,Aimar,Jaureguiberry,1861-02-18,male,Azkoitia,Irura,ormaiztegi;llodio/laudio;segura,oiartzun;anoeta,harry potter 4: goblet of fire,G8857
Gabriela474,Gabriela,Mendoza,1831-07-13,female,Lazkao,Gamiz-Fika,balmaseda;legutio,albiztur;larrabetzu,harry potter 3: prisoner of azkeban;in the company of men;independence day,G2533
Carla590,Carla,Urquía,1943-10-25,male,Bakio,Amurrio,amezketa,mañaria;abadiño,crash;pirates 1: curse of the black pearl;spider-man 2;pirates 2: dead man’s chest,G3607
Aiala543,Aiala,Alegría,1853-03-02,female,Arrankudiaga,Mallabia,zamudio;meñaka,deba;beasain;aduna;ezkio,crash;shrek the third;harry potter 4: goblet of fire,G6219
Lia343,Lia,Uribe,1950-06-11,male,Berrobi,Lemoa,urnieta;etxebarria;alegría-dulantzi,lapuebla de labarca,quinceanera;shakespeare in love;jurassic park;return of the jedi,G8079
Lucía14,Lucía,Barquín,1953-01-17,female,Usurbil,Bidegoian,berastegi,sukarrieta;arrasate/mondragón;leioa,forrest gump;the lion king;shrek,G5731
Niko78,Niko,Astete,1831-05-02,male,Irura,Irura,valle de carranza;portugalete,murueta,forrest gump;thirteen;pirates 3: at world’s end,G1122
Zoe345,Zoe,Aparicio,1920-09-12,female,Leintz-Gatzaga,Getaria,vitoria-gasteiz;valle de trápaga-trapagaran;salvatierra/agurain,busturia,harry potter 1: sorcerer’s stone;the last mimzy,G1433
Maialen194,Maialen,Cucullu,1940-08-14,male,Barrika,Anoeta,mutriku;galdames;ayala/aiara,urnieta;tolosa;arratzu,star wars;star wars: phantom menace,G1268
